external_learning_efficiency,platform_capture_share,equivalent_pareto_tail_index,neutrality_penalty,regime,ownership_size,incremental_private_value,capture_upgrade,productive_learning_upgrade,external_access_slope,selection_margin,platform_full_rollup_capture_threshold
0.51250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.88646875,0.69103125,0.00000000,0.73092008,0.34444721
0.52500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.90418750,0.67331250,0.00000000,0.72796695,0.34234570
0.53750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.92190625,0.65559375,0.00000000,0.72501383,0.34026968
0.55000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.93962500,0.63787500,0.00000000,0.72206070,0.33821868
0.56250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.95734375,0.62015625,0.00000000,0.71910758,0.33619227
0.57500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.97506250,0.60243750,0.00000000,0.71615445,0.33418999
0.58750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,2.99278125,0.58471875,0.00000000,0.71320133,0.33221142
0.60000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.01050000,0.56700000,0.00000000,0.71024820,0.33025614
0.61250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.02821875,0.54928125,0.00000000,0.70729508,0.32832374
0.62500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.04593750,0.53156250,0.00000000,0.70434195,0.32641382
0.63750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.06365625,0.51384375,0.00000000,0.70138883,0.32452600
0.65000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.08137500,0.49612500,0.00000000,0.69843570,0.32265988
0.66250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.09909375,0.47840625,0.00000000,0.69548258,0.32081511
0.67500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.11681250,0.46068750,0.00000000,0.69252945,0.31899131
0.68750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.13453125,0.44296875,0.00000000,0.68957633,0.31718813
0.70000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.15225000,0.42525000,0.00000000,0.68662320,0.31540522
0.71250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.16996875,0.40753125,0.00000000,0.68367008,0.31364224
0.72500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.18768750,0.38981250,0.00000000,0.68071695,0.31189886
0.73750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.20540625,0.37209375,0.00000000,0.67776383,0.31017475
0.75000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.22312500,0.35437500,0.00000000,0.67481070,0.30846961
0.76250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.24084375,0.33665625,0.00000000,0.67185758,0.30678310
0.77500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.25856250,0.31893750,0.00000000,0.66890445,0.30511494
0.78750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.27628125,0.30121875,0.00000000,0.66595133,0.30346482
0.80000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.29400000,0.28350000,0.00000000,0.66299820,0.30183245
0.81250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.31171875,0.26578125,0.00000000,0.66004508,0.30021755
0.82500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.32943750,0.24806250,0.00000000,0.65709195,0.29861984
0.83750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.34715625,0.23034375,0.00000000,0.65413883,0.29703905
0.85000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.36487500,0.21262500,0.00000000,0.65118570,0.29547490
0.86250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.38259375,0.19490625,0.00000000,0.64823258,0.29392714
0.87500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.40031250,0.17718750,0.00000000,0.64527945,0.29239551
0.88750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.41803125,0.15946875,0.00000000,0.64232633,0.29087976
0.90000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.43575000,0.14175000,0.00000000,0.63937320,0.28937964
0.91250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.45346875,0.12403125,0.00000000,0.63642008,0.28789492
0.92500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.47118750,0.10631250,0.00000000,0.63346695,0.28642535
0.93750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.48890625,0.08859375,0.00000000,0.63051383,0.28497071
0.95000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.50662500,0.07087500,0.00000000,0.62756070,0.28353077
0.96250000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.52434375,0.05315625,0.00000000,0.62460758,0.28210531
0.97500000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.54206250,0.03543750,0.00000000,0.62165445,0.28069411
0.98750000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.55978125,0.01771875,0.00000000,0.61870133,0.27929696
1.00000000,0.00000000,,5.00000000,full_network_rollup,6,2.20941355,3.57750000,0.00000000,0.00000000,0.61574820,0.27791365
0.00000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17941355,2.13000000,1.41750000,-0.01968750,0.84699820,0.46029449
0.01250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17916745,2.14747266,1.39978125,-0.01968750,0.84400406,0.45654936
0.02500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17892136,2.16494531,1.38206250,-0.01968750,0.84100992,0.45286468
0.03750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17867527,2.18241797,1.36434375,-0.01968750,0.83801578,0.44923900
0.05000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17842917,2.19989063,1.34662500,-0.01968750,0.83502164,0.44567091
0.06250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17818308,2.21736328,1.32890625,-0.01968750,0.83202750,0.44215906
0.07500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17793699,2.23483594,1.31118750,-0.01968750,0.82903336,0.43870212
0.08750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17769089,2.25230859,1.29346875,-0.01968750,0.82603922,0.43529882
0.10000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17744480,2.26978125,1.27575000,-0.01968750,0.82304508,0.43194791
0.11250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17719870,2.28725391,1.25803125,-0.01968750,0.82005094,0.42864820
0.12500000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17695261,2.30472656,1.24031250,-0.01968750,0.81705680,0.42539852
0.13750000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17670652,2.32219922,1.22259375,-0.01968750,0.81406266,0.42219774
0.15000000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17646042,2.33967188,1.20487500,-0.01968750,0.81106852,0.41904477
0.16250000,0.00625000,1.00632911,5.00000000,full_network_rollup,6,2.17621433,2.35714453,1.18715625,-0.01968750,0.80807438,0.41593854
