context_payment_cap,enforcement_capacity,integration_cost,regime,disclosure,monitoring,reuse,owner_payoff,provider_payoff,transfer_to_provider,period_two_route
0.00000000,0.58666667,0.00000000,secure_modular,1.00000000,0.57954545,0.00000000,1.36800794,0.08500794,0.00999206,renew
0.00000000,0.60000000,0.00000000,secure_modular,1.00000000,0.56666667,0.00000000,1.36893056,0.08593056,0.00906944,renew
0.00000000,0.61333333,0.00000000,secure_modular,1.00000000,0.55434783,0.00000000,1.36979366,0.08679366,0.00820634,renew
0.00000000,0.62666667,0.00000000,secure_modular,1.00000000,0.54255319,0.00000000,1.37060225,0.08760225,0.00739775,renew
0.00000000,0.64000000,0.00000000,secure_modular,1.00000000,0.53125000,0.00000000,1.37136084,0.08836084,0.00663916,renew
0.00000000,0.65333333,0.00000000,secure_modular,1.00000000,0.52040816,0.00000000,1.37207346,0.08907346,0.00592654,renew
0.00000000,0.66666667,0.00000000,secure_modular,1.00000000,0.51000000,0.00000000,1.37274375,0.08974375,0.00525625,renew
0.00000000,0.68000000,0.00000000,secure_modular,1.00000000,0.50000000,0.00000000,1.37337500,0.09037500,0.00462500,renew
0.00000000,0.69333333,0.00000000,secure_modular,1.00000000,0.49038462,0.00000000,1.37397018,0.09097018,0.00402982,renew
0.00000000,0.70666667,0.00000000,secure_modular,1.00000000,0.48113208,0.00000000,1.37453200,0.09153200,0.00346800,renew
0.00000000,0.72000000,0.00000000,secure_modular,1.00000000,0.47222222,0.00000000,1.37506289,0.09206289,0.00293711,renew
0.00000000,0.73333333,0.00000000,secure_modular,1.00000000,0.46363636,0.00000000,1.37556508,0.09256508,0.00243492,renew
0.00000000,0.74666667,0.00000000,secure_modular,1.00000000,0.45535714,0.00000000,1.37604062,0.09304062,0.00195938,renew
0.00000000,0.76000000,0.00000000,secure_modular,1.00000000,0.44736842,0.00000000,1.37649134,0.09349134,0.00150866,renew
0.00000000,0.77333333,0.00000000,secure_modular,1.00000000,0.43965517,0.00000000,1.37691896,0.09391896,0.00108104,renew
0.00000000,0.78666667,0.00000000,secure_modular,1.00000000,0.43220339,0.00000000,1.37732501,0.09432501,0.00067499,renew
0.00000000,0.80000000,0.00000000,secure_modular,1.00000000,0.42500000,0.00000000,1.37771094,0.09471094,0.00028906,renew
0.00000000,0.00000000,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.01333333,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.02666667,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.04000000,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
0.00000000,0.05333333,0.01833333,ownership,0.00000000,0.00000000,0.00000000,1.31466667,0.05000000,0.00000000,none
