leakage,integration_cost,p_modular,p_withholding,p_ownership,p_no_trade,p_agreement,mean_disclosure,mean_context_use,mean_protection,mean_owner_payoff,mean_provider_payoff,mean_transfer_to_provider
0.56666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.58333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.60000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.61666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.63333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.65000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.66666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.68333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.70000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.71666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.73333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.75000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.76666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.78333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.80000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.81666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.83333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.85000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.86666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.88333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.90000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.91666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.93333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.95000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.96666667,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.98333333,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.77302740,0.00000000,0.00000000
0.00000000,0.01500000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.76555634,0.00747106,0.00747106
0.01666667,0.01500000,0.69440000,0.00000000,0.30560000,0.00000000,0.69440000,0.69440000,1.00000000,0.00530428,0.75985923,0.00177395,-0.00073521
0.03333333,0.01500000,0.09720000,0.00000000,0.90280000,0.00000000,0.09720000,0.09720000,1.00000000,0.00109437,0.75824452,0.00015924,-0.00035258
0.05000000,0.01500000,0.01040000,0.00000000,0.98960000,0.00000000,0.01040000,0.01040000,1.00000000,0.00014187,0.75809981,0.00001453,-0.00005200
0.06666667,0.01500000,0.00080000,0.00000000,0.99920000,0.00000000,0.00080000,0.00080000,1.00000000,0.00001299,0.75808668,0.00000141,-0.00000383
0.08333333,0.01500000,0.00020000,0.00000000,0.99980000,0.00000000,0.00020000,0.00020000,1.00000000,0.00000406,0.75808570,0.00000042,-0.00000087
0.10000000,0.01500000,0.00020000,0.00000000,0.99980000,0.00000000,0.00020000,0.00020000,1.00000000,0.00000487,0.75808530,0.00000003,-0.00000151
0.11666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.13333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.15000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.16666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.18333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.20000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.21666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.23333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.25000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.26666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.28333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.30000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.31666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.33333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.35000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.36666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.38333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.40000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.41666667,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.43333333,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
0.45000000,0.01500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.75808528,0.00000000,0.00000000
